                Media     Variance           SD   CV.perc
P_SEM_INST    42.1950 2.029168e+02   14.2448868  33.75966
P_ENSSUP      16.5126 2.441122e+02   15.6240904  94.61920
P_ATE5         6.3162 4.175200e+00    2.0433306  32.35063
P_MAISDE2      1.1942 1.248500e+00    1.1173630  93.56582
M_DENSMORA     0.5237 1.350000e-02    0.1161895  22.18627
P_POBREZA     15.6235 7.165590e+01    8.4649808  54.18108
M_RENDDOM   4991.8011 1.471408e+07 3835.8939958  76.84389
P_IDOSO10SM    1.0431 2.530200e+00    1.5906602 152.49355
P_ALVSREV      9.5693 4.207610e+01    6.4866093  67.78562
P_TUDOADEQ    86.0409 8.537370e+01    9.2397890  10.73883
